# radii,1
0.000000,0.000000
20.000000,0.000000
40.000000,0.000000
60.000000,0.000000
80.000000,44056.707200
100.000000,44056.707200
120.000000,89101.866164
140.000000,133158.573364
160.000000,227623.265856
180.000000,327847.418840
200.000000,471466.787994
220.000000,515523.495194
240.000000,559679.578425
260.000000,559679.578425
280.000000,623795.498028
300.000000,774248.493365
320.000000,774248.493365
340.000000,868758.705024
360.000000,973261.082975
380.000000,1095473.388711
400.000000,1294500.964444
420.000000,1362300.333392
440.000000,1362300.333392
460.000000,1644677.223757
480.000000,1723023.014580
500.000000,1865879.154571
520.000000,1925228.309382
540.000000,2049953.189923
560.000000,2117746.800335
580.000000,2117746.800335
600.000000,2117746.800335
620.000000,2169968.618935
640.000000,2335404.048448
660.000000,2335404.048448
680.000000,2512209.596407
700.000000,2562711.709914
720.000000,2618203.870239
740.000000,2874874.068579
760.000000,3062715.869791
780.000000,3114727.172208
800.000000,3385890.489689
820.000000,3598691.385231
840.000000,3657881.045757
860.000000,3895186.966851
880.000000,4015706.663736
900.000000,4132018.103342
920.000000,4271457.591159
940.000000,4680171.511797
960.000000,4924772.660884
980.000000,5165921.648279
1000.000000,5165921.648279
1020.000000,5382057.652935
1040.000000,5626939.710004
1060.000000,5626939.710004
1080.000000,5955506.570978
1100.000000,6189808.117489
1120.000000,6343169.126366
1140.000000,6478470.185623
1160.000000,6553843.798411
1180.000000,6979669.316101
1200.000000,7400060.085857
1220.000000,7474698.676710
1240.000000,7742162.328944
1260.000000,7811160.720675
1280.000000,7811160.720675
1300.000000,7811160.720675
1320.000000,7964356.986974
1340.000000,7964356.986974
1360.000000,7964356.986974
1380.000000,8235904.251886
1400.000000,8235904.251886
1420.000000,8345096.922944
1440.000000,8345096.922944
1460.000000,8345096.922944
1480.000000,8345096.922944
1500.000000,8345096.922944
1520.000000,8445480.288148
1540.000000,8544247.079371
1560.000000,8743185.157876
1580.000000,8859083.740827
1600.000000,8952022.651134
1620.000000,9059967.509441
1640.000000,9256167.814125
1660.000000,9344474.758778
1680.000000,9444195.222419
1700.000000,9819185.630175
1720.000000,10104813.709024
1740.000000,10406659.471894
1760.000000,10714696.896452
1780.000000,10714696.896452
1800.000000,10965501.978376
1820.000000,11663733.736148
1840.000000,11798806.426047
1860.000000,12237406.059773
1880.000000,12350746.625018
1900.000000,12572340.667802
1920.000000,12572340.667802
1940.000000,12791959.939535
1960.000000,13032674.661769
1980.000000,13032674.661769
2000.000000,13282444.391864
2020.000000,13552272.395182
2040.000000,13811369.906475
2060.000000,14290441.932005
2080.000000,14751993.135443
2100.000000,14974737.595501
2120.000000,15393314.250923
2140.000000,15629963.404204
2160.000000,15875385.241439
2180.000000,15988075.227178
2200.000000,15988075.227178
2220.000000,16097400.523049
2240.000000,16503954.636505
2260.000000,16911210.085727
2280.000000,17176169.768186
2300.000000,17176169.768186
2320.000000,17176169.768186
2340.000000,17176169.768186
2360.000000,17176169.768186
2380.000000,17596065.102391
2400.000000,17848110.973442
2420.000000,18171978.730646
2440.000000,18861999.020635
2460.000000,19259367.035086
2480.000000,19412032.982333
2500.000000,19671153.121892
2520.000000,19671153.121892
2540.000000,19993599.612601
2560.000000,20434476.435666
2580.000000,20707902.384987
2600.000000,21048294.790182
2620.000000,21528266.417560
